Sector subsector y rama,1.16,2.16,3.16,4.16,Total 2022,1.17,2.17,3.17,4.17,Total 2023,1.18,2.18,Total 2024,Total general
"11 Agricultura cría y explotación de animales, aprovechamiento forestal, pesca y caza",101.4,47.3,22.4,112.4,283.5,25.9,55.5,117.9,134.7,334.0,249.7,37.1,286.8,"3,082.9"
111 Agricultura,22.9,8.8,-12.1,87.8,107.4,11.0,8.5,94.8,C,109.9,68.3,42.0,110.3,"1,246.9"
1111 Cultivo de semillas oleaginosas  leguminosas y cereales,0.0,C,0.0,C,C,C,0.0,0.0,0.0,C,0.0,0.0,0.0,-6.7
1112 Cultivo de hortalizas,C,2.2,C,-4.1,6.2,7.3,C,C,C,13.6,C,22.4,51.2,283.0
1113 Cultivo de frutales y nueces,0.0,-0.9,-4.3,C,-2.5,C,0.0,C,0.0,C,-17.9,0.0,-17.9,284.9
"1114 Cultivo en invernaderos y otras estructuras agrícolas protegidas, y floricultura",C,C,0.0,C,140.7,C,0.0,C,0.0,87.4,C,19.6,74.6,614.0
1119 Otros cultivos,C,C,0.0,-21.4,-37.1,C,C,C,0.0,16.6,2.4,0.0,2.4,71.7
112 Cría y explotación de animales,C,C,C,35.1,118.8,-24.3,47.0,17.8,C,153.3,C,0.0,C,"1,391.5"
1121 Explotación de bovinos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9
1122 Explotación de porcinos,0.0,0.0,C,0.0,C,0.0,0.0,C,0.0,C,0.0,0.0,0.0,323.5
1123 Explotación avícola,C,C,0.0,35.1,106.6,C,47.0,-9.2,C,126.3,C,0.0,C,"1,034.8"
1124 Explotación de ovinos y caprinos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
1125 Acuicultura,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,C,0.0,0.0,0.0,30.2
1129 Explotación de otros animales,C,0.0,0.0,0.0,C,C,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0
113 Aprovechamiento forestal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3
1132 Viveros forestales y recolección de productos forestales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3
114 Pesca caza y captura,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
1141 Pesca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
1142 Caza y captura,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
115 Servicios relacionados con las actividades agropecuarias y forestales,47.0,-1.5,22.3,C,57.4,39.2,0.0,5.3,26.2,70.8,125.7,C,120.8,441.6
1151 Servicios relacionados con la agricultura,12.1,C,1.8,0.0,19.8,-7.7,0.0,C,C,0.8,C,0.0,C,112.6
1152 Servicios relacionados con la cría y explotación de animales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,C,0.4
1153 Servicios relacionados con el aprovechamiento forestal,35.0,-7.4,20.4,C,37.5,46.9,0.0,0.2,22.9,70.0,125.0,C,120.1,328.6
21 Minería,"1,519.2",115.3,94.2,52.1,"1,780.7",829.5,"1,776.0",584.0,303.0,"3,492.5","2,395.8",585.3,"2,981.1","46,681.7"
211 Extracción de petróleo y gas,452.6,0.7,-51.4,-52.7,349.3,241.7,-102.3,402.6,238.3,780.3,74.5,389.1,463.6,"8,597.4"
2111 Extracción de petróleo y gas,452.6,0.7,-51.4,-52.7,349.3,241.7,-102.3,402.6,238.3,780.3,74.5,389.1,463.6,"8,597.4"
"212 Minería de minerales metálicos y no metálicos, excepto petróleo y gas",750.1,14.5,101.4,55.9,921.9,273.0,"1,858.5",-180.5,158.3,"2,109.3","2,211.2",-12.6,"2,198.6","32,843.7"
2121 Minería de carbón mineral,0.0,C,C,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3
2122 Minería de minerales metálicos,748.9,10.4,89.1,20.7,869.1,260.1,"1,858.5",-187.4,158.3,"2,089.5","2,210.3",-12.6,"2,197.7","32,600.1"
2123 Minería de minerales no metálicos,C,C,10.4,C,49.8,12.9,0.0,C,0.0,19.8,C,0.0,C,238.4
213 Servicios relacionados con la minería,316.5,100.0,44.2,48.9,509.5,314.8,19.8,361.9,C,602.9,110.1,208.8,318.9,"5,240.6"
2131 Servicios relacionados con la minería,316.5,100.0,44.2,48.9,509.5,314.8,19.8,361.9,C,602.9,110.1,208.8,318.9,"5,240.6"
22 Generación transmisión distribución y comercialización de energía eléctrica  suministro de agua y de gas natural por ductos al consumidor final,45.4,398.0,317.0,118.3,878.8,137.1,-409.3,108.6,70.6,-93.0,118.1,35.1,153.2,"15,719.3"
221 Generación  transmisión  distribución y comercialización de energía eléctrica suministro de agua y de gas natural por ductos al consumidor final,45.4,398.0,317.0,118.3,878.8,137.1,-409.3,108.6,70.6,-93.0,118.1,35.1,153.2,"15,719.3"
2211 Generación transmisión  distribución y comercialización de energía eléctrica,56.2,421.3,182.8,177.8,838.1,171.2,-382.6,150.5,27.1,-33.8,119.6,106.0,225.6,"14,538.2"
2212 Suministro de gas natural por ductos al consumidor final,-10.8,-23.3,C,-59.5,40.7,-34.1,-26.6,-41.9,C,-59.2,0.0,-70.9,-70.9,"1,105.6"
2213 Captación  tratamiento y suministro de agua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,C,75.5
23 Construcción,768.4,-302.6,94.5,-96.2,464.2,533.4,82.0,-64.4,-293.1,257.9,-665.6,-394.3,"-1,059.9","21,606.4"
236 Edificación,16.7,21.5,1.3,-30.7,8.7,25.7,73.1,25.3,-72.7,51.4,163.7,8.1,171.9,"1,599.0"
2361 Edificación residencial,3.4,0.1,C,0.0,3.5,C,C,-1.3,C,-0.4,2.5,C,1.0,548.1
2362 Edificación no residencial,13.2,21.4,1.3,-30.8,5.2,25.7,73.1,26.7,-73.6,51.8,161.2,9.6,170.9,"1,050.8"
237 Construcción de obras de ingeniería civil,739.7,-325.9,119.8,-67.5,466.2,463.7,-1.9,-91.6,-211.3,158.9,-882.5,-387.6,"-1,270.1","19,448.6"
2371 Construcción de obras para el suministro de agua  petróleo  gas energía eléctrica y telecomunicaciones,661.8,-324.7,117.8,-59.9,395.0,455.4,-10.2,-69.9,-211.3,164.1,"-1,172.4",-392.8,"-1,565.2","6,950.0"
2372 División de terrenos y construcción de obras de urbanización,-1.4,5.4,C,-1.3,5.9,0.0,C,-34.8,0.0,-29.8,12.5,0.0,12.5,549.0
2373 Construcción de vías de comunicación,C,C,C,C,43.0,0.0,C,C,0.0,3.3,90.6,C,70.1,"10,803.1"
2379 Otras construcciones de ingeniería civil,40.8,-12.4,C,-5.0,22.3,8.2,C,13.1,0.0,21.3,186.8,25.7,212.4,"1,146.5"
238 Trabajos especializados para la construcción,12.0,1.8,-26.6,2.1,-10.7,44.0,10.8,1.9,-9.1,47.7,53.2,-14.9,38.3,558.8
2381 Cimentaciones  montaje de estructuras prefabricadas y trabajos en exteriores,C,C,C,0.0,C,C,0.0,C,0.0,C,0.0,C,C,63.2
2382 Instalaciones y equipamiento en construcciones,C,1.3,-26.6,0.2,-19.7,C,C,C,-0.9,55.4,42.2,C,27.3,404.6
2383 Trabajos de acabados en edificaciones,0.0,C,0.0,C,C,C,0.0,0.0,C,C,C,0.0,C,13.0
2389 Otros trabajos especializados para la construcción,C,C,0.0,1.9,8.9,C,C,C,0.0,0.1,C,0.0,C,78.0
31-33 Industrias manufactureras,"7,156.9","4,974.7","1,961.2",-1.1,"14,091.8","12,793.5","4,765.5","1,067.6",-511.0,"18,115.7","12,710.0","3,942.9","16,652.9","292,481.3"
