Concepto,PIB 2022-2023
Actividades primarias,2373598.735
"11 - Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2373598.735
111 - Agricultura,1589979.992
112 - Cría y explotación de animales,679473.196
113 - Aprovechamiento forestal,64716.607
"114 - Pesca, caza y captura",23702.418
115 - Servicios relacionados con las actividades agropecuarias y forestales,15726.523000000001
Actividades secundarias,20128118.601
21 - Minería,2098282.745
211 - Extracción de petróleo y gas,1186092.6949999998
"212 - Minería de minerales metálicos y no metálicos, excepto petróleo y gas",713116.576
213 - Servicios relacionados con la minería,199073.474
"22 - Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",1285572.844
"221 - Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",1285572.844
23 - Construcción,3956265.949
236 - Edificación,2741304.6229999997
237 - Construcción de obras de ingeniería civil,693124.656
238 - Trabajos especializados para la construcción,521836.67
31-33 - Industrias manufactureras,12787997.064
311 - Industria alimentaria,2647926.139
3111 - Elaboración de alimentos para animales,147040.40899999999
3112 - Molienda de granos y de semillas y obtención de aceites y grasas,241087.709
"3113 - Elaboración de azúcares, chocolates, dulces y similares",169453.178
"3114 - Conservación de frutas, verduras, guisos y otros alimentos preparados",131520.575
3115 - Elaboración de productos lácteos,158733.874
"3116 - Matanza, empacado y procesamiento de carne de ganado, aves y otros animales comestibles",760114.771
3117 - Preparación y envasado de pescados y mariscos,12163.331999999999
3118 - Elaboración de productos de panadería y tortillas,773851.935
3119 - Otras industrias alimentarias,253960.356
312 - Industria de las bebidas y del tabaco,654245.721
3121 - Industria de las bebidas,593301.2760000001
3122 - Industria del tabaco,60944.445
313 - Fabricación de insumos textiles y acabado de textiles,71814.894
"3131 - Preparación e hilado de fibras textiles, y fabricación de hilos",18034.854
3132 - Fabricación de telas,38345.228
3133 - Acabado de productos textiles y fabricación de telas recubiertas,15434.811000000002
"314 - Fabricación de productos textiles, excepto prendas de vestir",41458.181
"3141 - Confección de alfombras, blancos y similares",12361.445
"3149 - Fabricación de otros productos textiles, excepto prendas de vestir",29096.736
315 - Fabricación de prendas de vestir,154722.059
3151 - Fabricación de prendas de vestir de tejido de punto,14958.552
3152 - Confección de prendas de vestir,133060.525
3159 - Confección de accesorios de vestir y otras prendas de vestir no clasificados en otra parte,6702.982
"316 - Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos",71037.612
3161 - Curtido y acabado de cuero y piel,14791.204
3162 - Fabricación de calzado,42976.697
"3169 - Fabricación de otros productos de cuero, piel y materiales sucedáneos",13269.711
321 - Industria de la madera,103426.468
3211 - Aserrado y conservación de la madera,48006.144
3212 - Fabricación de laminados y aglutinados de madera,6297.826999999999
3219 - Fabricación de otros productos de madera,49122.496
322 - Industria del papel,268802.28500000003
"3221 - Fabricación de pulpa, papel y cartón",92284.75200000001
3222 - Fabricación de productos de cartón y papel,176517.533
323 - Impresión e industrias conexas,64526.283
3231 - Impresión e industrias conexas,64526.283
324 - Fabricación de productos derivados del petróleo y del carbón,347788.744
3241 - Fabricación de productos derivados del petróleo y del carbón,347788.744
325 - Industria química,884991.464
3251 - Fabricación de productos químicos básicos,232250.51
"3252 - Fabricación de resinas y hules sintéticos, y fibras químicas",115377.037
"3253 - Fabricación de fertilizantes, pesticidas y otros agroquímicos",59686.69899999999
3254 - Fabricación de productos farmacéuticos,206729.056
"3255 - Fabricación de pinturas, recubrimientos y adhesivos",62819.253
"3256 - Fabricación de jabones, limpiadores y preparaciones de tocador",154439.832
3259 - Fabricación de otros productos químicos,53689.077000000005
326 - Industria del plástico y del hule,403439.157
3261 - Fabricación de productos de plástico,320733.91099999996
3262 - Fabricación de productos de hule,82705.246
327 - Fabricación de productos a base de minerales no metálicos,419784.978
3271 - Fabricación de productos a base de arcillas y minerales refractarios,76541.644
3272 - Fabricación de vidrio y productos de vidrio,82115.943
3273 - Fabricación de cemento y productos de concreto,214415.139
"3274 - Fabricación de cal, yeso y productos de yeso",23758.662
3279 - Fabricación de otros productos a base de minerales no metálicos,22953.59
331 - Industrias metálicas básicas,714747.63
3311 - Industria básica del hierro y del acero,139900.198
3312 - Fabricación de productos de hierro y acero,199111.022
3313 - Industria básica del aluminio,38692.693
"3314 - Industrias de metales no ferrosos, excepto aluminio",277896.57700000005
3315 - Moldeo por fundición de piezas metálicas,59147.14
332 - Fabricación de productos metálicos,455311.115
3321 - Fabricación de productos metálicos forjados y troquelados,16771.996
3322 - Fabricación de herramientas de mano sin motor y utensilios de cocina metálicos,44109.545
3323 - Fabricación de estructuras metálicas y productos de herrería,94040.744
"3324 - Fabricación de calderas, tanques y envases metálicos",41932.935
3325 - Fabricación de herrajes y cerraduras,24129.838
"3326 - Fabricación de alambre, productos de alambre y resortes",37501.352
3327 - Maquinado de piezas y fabricación de tornillos,51951.621
3328 - Recubrimientos y terminados metálicos,40555.683000000005
3329 - Fabricación de otros productos metálicos,104317.401
333 - Fabricación de maquinaria y equipo,561138.627
"3331 - Fabricación de maquinaria y equipo agropecuario, para la construcción y para la industria extractiva",113514.95999999999
"3332 - Fabricación de maquinaria y equipo para las industrias manufactureras, excepto la metalmecánica",36472.407999999996
3333 - Fabricación de maquinaria y equipo para el comercio y los servicios,16470.412
"3334 - Fabricación de equipo de aire acondicionado, calefacción, y de refrigeración industrial y comercial",132350.877
3335 - Fabricación de maquinaria y equipo para la industria metalmecánica,8342.89
"3336 - Fabricación de motores de combustión interna, turbinas y transmisiones",140150.092
3339 - Fabricación de otra maquinaria y equipo para la industria en general,113836.988
"334 - Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos",1089862.1940000001
3341 - Fabricación de computadoras y equipo periférico,281396.494
3342 - Fabricación de equipo de comunicación,205173.77000000002
3343 - Fabricación de equipo de audio y de video,207036.443
3344 - Fabricación de componentes electrónicos,323987.32499999995
"3345 - Fabricación de instrumentos de medición, control, navegación, y equipo médico electrónico",64212.365
3346 - Fabricación y reproducción de medios magnéticos y ópticos,8055.7970000000005
"335 - Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica",501573.519
3351 - Fabricación de accesorios de iluminación,36651.584
3352 - Fabricación de aparatos eléctricos de uso doméstico,151502.821
3353 - Fabricación de equipo de generación y distribución de energía eléctrica,164487.75699999998
3359 - Fabricación de otros equipos y accesorios eléctricos,148931.35700000002
336 - Fabricación de equipo de transporte,2816171.3159999996
3361 - Fabricación de automóviles y camiones,1441860.182
3362 - Fabricación de carrocerías y remolques,44454.492
3363 - Fabricación de partes para vehículos automotores,1167850.65
3364 - Fabricación de equipo aeroespacial,51136.251000000004
3365 - Fabricación de equipo ferroviario,57957.009000000005
3366 - Fabricación de embarcaciones,7133.577
3369 - Fabricación de otro equipo de transporte,45779.155
"337 - Fabricación de muebles, colchones y persianas",140619.277
"3371 - Fabricación de muebles, excepto de oficina y estantería",87147.77100000001
3372 - Fabricación de muebles de oficina y estantería,28884.222999999998
"3379 - Fabricación de colchones, persianas y cortineros",24587.283
339 - Otras industrias manufactureras,374609.403
"3391 - Fabricación de equipo no electrónico y material desechable de uso médico, dental y para laboratorio, y artículos oftálmicos",209577.577
3399 - Otras industrias manufactureras,165031.826
Actividades terciarias,35533842.326000005
43 - Comercio al por mayor,5832677.642
46 - Comercio al por menor,5884615.085999999
"48-49 - Transportes, correos y almacenamiento",4406858.117000001
481 - Transporte aéreo,226454.603
482 - Transporte por ferrocarril,87765.737
483 - Transporte por agua,40420.051999999996
484 - Autotransporte de carga,2295317.952
"485 - Transporte terrestre de pasajeros, excepto por ferrocarril",1069860.68
486 - Transporte por ductos,39645.894
487 - Transporte turístico,5313.948
488 - Servicios relacionados con el transporte,474241.216
491 - Servicios postales,8650.581
492 - Servicios de mensajería y paquetería,83007.062
493 - Servicios de almacenamiento,76180.391
51 - Información en medios masivos,864561.439
"511 - Edición de periódicos, revistas, libros, software y otros materiales, y edición de estas publicaciones integrada con la impresión",36482.434
"512 - Industria fílmica y del video, e industria del sonido",60399.443999999996
515 - Radio y televisión,137407.56699999998
517 - Telecomunicaciones,604623.076
"518 - Procesamiento electrónico de información, hospedaje y otros servicios relacionados",22779.714999999997
519 - Otros servicios de información,2869.202
52 - Servicios financieros y de seguros,2569330.085
521 - Banca central,109603.015
522 - Instituciones de intermediación crediticia y financiera no bursátil,2005414.6660000002
"523 - Actividades bursátiles, cambiarias y de inversión financiera",62629.602
"524 - Compañías de seguros, fianzas, y administración de fondos para el retiro",391682.802
53 - Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,5286215.2
531 - Servicios inmobiliarios,5126092.063
532 - Servicios de alquiler de bienes muebles,60361.217000000004
"533 - Servicios de alquiler de marcas registradas, patentes y franquicias",99761.92
"54 - Servicios profesionales, científicos y técnicos",1147232.267
55 - Corporativos,360469.267
"56 - Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",539205.694
561 - Servicios de apoyo a los negocios,498723.647
562 - Manejo de residuos y servicios de remediación,40482.047
61 - Servicios educativos,2120775.215
62 - Servicios de salud y de asistencia social,1520145.834
621 - Servicios médicos de consulta externa y servicios relacionados,664177.5819999999
622 - Hospitales,813388.618
623 - Residencias de asistencia social y para el cuidado de la salud,5309.228
624 - Otros servicios de asistencia social,37270.406
"71 - Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",285274.677
"711 - Servicios artísticos, culturales y deportivos, y otros servicios relacionados",138945.51799999998
"712 - Museos, sitios históricos, zoológicos y similares",18550.86
713 - Servicios de entretenimiento en instalaciones recreativas y otros servicios recreativos,127778.299
72 - Servicios de alojamiento temporal y de preparación de alimentos y bebidas,1449094.795
721 - Servicios de alojamiento temporal,664267.846
722 - Servicios de preparación de alimentos y bebidas,784826.949
81 - Otros servicios excepto actividades gubernamentales,1178034.469
811 - Servicios de reparación y mantenimiento,280493.694
812 - Servicios personales,514967.67
813 - Asociaciones y organizaciones,109420.697
814 - Hogares con empleados domésticos,273152.407
"93 - Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales",2089352.542
