,Sector subsector y rama,Total 2022,Total 2023
0,"11 Agricultura cría y explotación de animales, aprovechamiento forestal, pesca y caza",283.5,334.0
1,111 Agricultura,107.4,109.9
3,1112 Cultivo de hortalizas,6.2,13.6
5,"1114 Cultivo en invernaderos y otras estructuras agrícolas protegidas, y floricultura",140.7,87.4
6,1119 Otros cultivos,-37.1,16.6
7,112 Cría y explotación de animales,118.8,153.3
8,1121 Explotación de bovinos,0.0,0.0
10,1123 Explotación avícola,106.6,126.3
11,1124 Explotación de ovinos y caprinos,0.0,0.0
14,113 Aprovechamiento forestal,0.0,0.0
15,1132 Viveros forestales y recolección de productos forestales,0.0,0.0
16,114 Pesca caza y captura,0.0,0.0
17,1141 Pesca,0.0,0.0
18,1142 Caza y captura,0.0,0.0
19,115 Servicios relacionados con las actividades agropecuarias y forestales,57.4,70.8
20,1151 Servicios relacionados con la agricultura,19.8,0.8
21,1152 Servicios relacionados con la cría y explotación de animales,0.0,0.0
22,1153 Servicios relacionados con el aprovechamiento forestal,37.5,70.0
23,21 Minería,"1,780.7","3,492.5"
24,211 Extracción de petróleo y gas,349.3,780.3
25,2111 Extracción de petróleo y gas,349.3,780.3
26,"212 Minería de minerales metálicos y no metálicos, excepto petróleo y gas",921.9,"2,109.3"
28,2122 Minería de minerales metálicos,869.1,"2,089.5"
29,2123 Minería de minerales no metálicos,49.8,19.8
30,213 Servicios relacionados con la minería,509.5,602.9
31,2131 Servicios relacionados con la minería,509.5,602.9
32,22 Generación transmisión distribución y comercialización de energía eléctrica  suministro de agua y de gas natural por ductos al consumidor final,878.8,-93.0
33,221 Generación  transmisión  distribución y comercialización de energía eléctrica suministro de agua y de gas natural por ductos al consumidor final,878.8,-93.0
34,2211 Generación transmisión  distribución y comercialización de energía eléctrica,838.1,-33.8
35,2212 Suministro de gas natural por ductos al consumidor final,40.7,-59.2
36,2213 Captación  tratamiento y suministro de agua,0.0,0.0
37,23 Construcción,464.2,257.9
38,236 Edificación,8.7,51.4
39,2361 Edificación residencial,3.5,-0.4
40,2362 Edificación no residencial,5.2,51.8
41,237 Construcción de obras de ingeniería civil,466.2,158.9
42,2371 Construcción de obras para el suministro de agua  petróleo  gas energía eléctrica y telecomunicaciones,395.0,164.1
43,2372 División de terrenos y construcción de obras de urbanización,5.9,-29.8
44,2373 Construcción de vías de comunicación,43.0,3.3
45,2379 Otras construcciones de ingeniería civil,22.3,21.3
46,238 Trabajos especializados para la construcción,-10.7,47.7
48,2382 Instalaciones y equipamiento en construcciones,-19.7,55.4
50,2389 Otros trabajos especializados para la construcción,8.9,0.1
51,31-33 Industrias manufactureras,"14,091.8","18,115.7"
52,311 Industria alimentaria,969.7,575.1
54,3112 Molienda de granos y de semillas y obtención de aceites y grasas,63.2,160.3
55,3113 Elaboración de azúcares chocolates  dulces y similares,851.4,123.1
56,3114 Conservación de frutas  verduras  guisos y otros alimentos preparados,35.1,-31.4
61,3119 Otras industrias alimentarias,14.2,36.8
62,312 Industria de las bebidas y del tabaco,665.6,"2,605.4"
63,3121 Industria de las bebidas,667.6,"2,440.0"
65,313 Fabricación de insumos textiles y acabado de textiles,24.6,10.2
67,3132 Fabricación de telas,23.9,5.4
69,314 Fabricación de productos textiles excepto prendas de vestir,31.0,17.3
70,3141 Confección de alfombras  blancos y similares,20.3,19.2
71,3149 Fabricación de otros productos textiles excepto prendas de vestir,10.7,-1.9
72,315 Fabricación de prendas de vestir,62.5,-4.5
73,3151 Fabricación de prendas de vestir de tejido de punto,7.5,4.6
74,3152 Confección de prendas de vestir,39.7,-4.0
75,3159 Confección de accesorios de vestir y otras prendas de vestir no clasificados en otra parte,15.4,-5.1
76,316 Curtido y acabado de cuero y piel y fabricación de productos de cuero piel y materiales sucedáneos,2.7,4.7
78,3162 Fabricación de calzado,2.7,2.5
79,3169 Fabricación de otros productos de cuero piel y materiales sucedáneos,6.4,0.9
80,321 Industria de la madera,0.7,29.7
81,3212 Fabricación de laminados y aglutinados de madera,0.0,0.0
82,3219 Fabricación de otros productos de madera,0.7,29.7
83,322 Industria del papel,"1,173.3",250.2
84,3221 Fabricación de pulpa  papel y cartón,"1,160.9",109.9
85,3222 Fabricación de productos de cartón y papel,12.4,140.3
86,323 Impresión e industrias conexas,-3.2,-8.0
87,3231 Impresión e industrias conexas,-3.2,-8.0
88,324 Fabricación de productos derivados del petróleo y del carbón,5.9,5.0
89,3241 Fabricación de productos derivados del petróleo y del carbón,5.9,5.0
90,325 Industria química,"1,320.4","1,094.5"
91,3251 Fabricación de productos químicos básicos,-368.2,247.0
92,3252 Fabricación de resinas y hules sintéticos  y fibras químicas,48.3,-1.1
94,3254 Fabricación de productos farmacéuticos,958.3,"1,276.8"
95,3255 Fabricación de pinturas  recubrimientos y adhesivos,101.0,-206.6
96,3256 Fabricación de jabones limpiadores y preparaciones de tocador,348.5,-254.9
97,3259 Fabricación de otros productos químicos,128.1,59.8
98,326 Industria del plástico y del hule,719.8,478.9
99,3261 Fabricación de productos de plástico,311.8,528.9
100,3262 Fabricación de productos de hule,408.1,-50.0
101,327 Fabricación de productos a base de minerales no metálicos,37.8,18.3
102,3271 Fabricación de productos a base de arcillas y minerales refractarios,-6.5,2.7
103,3272 Fabricación de vidrio y productos de vidrio,71.5,87.0
105,3274 Fabricación de cal  yeso y productos de yeso,0.0,0.0
106,3279 Fabricación de otros productos a base de minerales no metálicos,7.4,0.6
107,331 Industrias metálicas básicas,"2,579.0","2,283.0"
108,3311 Industria básica del hierro y del acero,"2,163.9","2,154.9"
109,3312 Fabricación de productos de hierro y acero,287.5,79.0
110,3313 Industria básica del aluminio,6.7,8.1
111,3314 Industrias de metales no ferrosos  excepto aluminio,79.2,29.8
112,3315 Moldeo por fundición de piezas metálicas,41.7,11.2
113,332 Fabricación de productos metálicos,52.8,168.9
114,3321 Fabricación de productos metálicos forjados y troquelados,-75.7,32.1
116,3323 Fabricación de estructuras metálicas y productos de herrería,4.2,11.5
118,3325 Fabricación de herrajes y cerraduras,3.1,48.7
119,3326 Fabricación de alambre productos de alambre y resortes,11.7,5.6
120,3327 Maquinado de piezas y fabricación de tornillos,28.2,17.5
122,3329 Fabricación de otros productos metálicos,28.0,36.3
123,333 Fabricación de maquinaria y equipo,298.6,49.2
124,3331 Fabricación de maquinaria y equipo agropecuario para la construcción y para la industria extractiva,83.0,-88.8
125,3332 Fabricación de maquinaria y equipo para las industrias manufactureras excepto la metalmecánica,-193.8,107.1
126,3333 Fabricación de maquinaria y equipo para el comercio y los servicios,18.6,29.3
127,3334 Fabricación de equipo de aire acondicionado  calefacción  y de refrigeración industrial y comercial,463.3,-138.5
128,3335 Fabricación de maquinaria y equipo para la industria metalmecánica,2.1,21.7
129,3336 Fabricación de motores de combustión interna turbinas y transmisiones,33.7,57.6
130,3339 Fabricación de otra maquinaria y equipo para la industria en general,-108.3,60.9
131,334 Fabricación de equipo de computación  comunicación  medición y de otros equipos componentes y accesorios electrónicos,"1,103.7","2,068.2"
132,3341 Fabricación de computadoras y equipo periférico,50.9,15.4
133,3342 Fabricación de equipo de comunicación,155.6,188.7
134,3343 Fabricación de equipo de audio y de video,138.9,424.7
135,3344 Fabricación de componentes electrónicos,836.8,841.5
136,3345 Fabricación de instrumentos de medición control navegación y equipo médico electrónico,-122.9,536.3
137,3346 Fabricación y reproducción de medios magnéticos y ópticos,44.4,61.7
138,335 Fabricación de accesorios  aparatos eléctricos y equipo de generación de energía eléctrica,636.0,842.5
139,3351 Fabricación de accesorios de iluminación,10.5,15.8
140,3352 Fabricación de aparatos eléctricos de uso doméstico,57.4,443.6
141,3353 Fabricación de equipo de generación y distribución de energía eléctrica,343.9,172.0
142,3359 Fabricación de otros equipos y accesorios eléctricos,224.3,211.1
143,336 Fabricación de equipo de transporte,"4,312.1","7,230.8"
144,3361 Fabricación de automóviles y camiones,"3,017.5","5,092.0"
145,3362 Fabricación de carrocerías y remolques,13.1,1.6
146,3363 Fabricación de partes para vehículos automotores,"1,015.2","1,914.4"
147,3364 Fabricación de equipo aeroespacial,221.0,227.5
148,3365 Fabricación de equipo ferroviario,33.9,-15.0
151,337 Fabricación de muebles colchones y persianas,-2.9,60.6
152,3371 Fabricación de muebles excepto de oficina y estantería,-3.2,59.8
155,339 Otras industrias manufactureras,101.6,335.5
156,3391 Fabricación de equipo no electrónico y material desechable de uso médico  dental y para laboratorio y artículos oftálmicos,86.8,130.3
157,3399 Otras industrias manufactureras,14.7,205.2
158,43 Comercio al por mayor,326.4,916.4
159,431 Comercio al por mayor de abarrotes alimentos  bebidas  hielo y tabaco,75.9,471.2
160,4311 Comercio al por mayor de abarrotes y alimentos,28.5,436.2
161,4312 Comercio al por mayor de bebidas hielo y tabaco,47.5,35.0
162,432 Comercio al por mayor de productos textiles y calzado,51.8,227.9
163,4321 Comercio al por mayor de productos textiles y calzado,51.8,227.9
164,433 Comercio al por mayor de productos farmacéuticos  de perfumería  artículos para el esparcimiento  electrodomésticos menores y aparatos de línea blanca,109.6,25.1
165,4331 Comercio al por mayor de productos farmacéuticos,61.3,41.8
166,4332 Comercio al por mayor de artículos de perfumería cosméticos y joyería,44.5,-32.5
167,4333 Comercio al por mayor de grabaciones de audio y video en medios físicos juguetes y artículos deportivos,-9.0,12.9
169,4335 Comercio al por mayor de electrodomésticos menores y aparatos de línea blanca,12.8,2.8
170,434 Comercio al por mayor de materias primas agropecuarias y forestales para la industria y materiales de desecho,151.1,58.5
171,4341 Comercio al por mayor de materias primas agropecuarias y forestales,18.0,-18.0
