Sector subsector y rama,Total 2022,Total 2023,IDE 2022-2023,Concepto,PIB 2022-2023,IDE 23 al 24
"11 Agricultura cría y explotación de animales, aprovechamiento forestal, pesca y caza",283.5,334, 617.50 ,"11 - Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2373598.735, 617.50 
111 Agricultura,107.4,109.9, 217.30 ,111 - Agricultura,1589979.992, 217.30 
1112 Cultivo de hortalizas,6.2,13.6, 19.80 ,112 - Cría y explotación de animales,679473.196, 272.10 
"1114 Cultivo en invernaderos y otras estructuras agrícolas protegidas, y floricultura",140.7,87.4, 228.10 ,113 - Aprovechamiento forestal,64716.607,
1119 Otros cultivos,-37.1,16.6,-20.50 ,"114 - Pesca, caza y captura",23702.418,
112 Cría y explotación de animales,118.8,153.3, 272.10 ,115 - Servicios relacionados con las actividades agropecuarias y forestales,15726.523, 128.20 
1123 Explotación avícola,106.6,126.3, 232.90 ,Actividades secundarias,20128118.6,
115 Servicios relacionados con las actividades agropecuarias y forestales,57.4,70.8, 128.20 ,21 - Minería,2098282.745," 5,273.20 "
1151 Servicios relacionados con la agricultura,19.8,0.8, 20.60 ,211 - Extracción de petróleo y gas,1186092.695," 1,129.60 "
1153 Servicios relacionados con el aprovechamiento forestal,37.5,70, 107.50 ,"212 - Minería de minerales metálicos y no metálicos, excepto petróleo y gas",713116.576," 3,031.20 "
21 Minería,"1,780.70","3,492.50"," 5,273.20 ",213 - Servicios relacionados con la minería,199073.474," 1,112.40 "
211 Extracción de petróleo y gas,349.3,780.3," 1,129.60 ","22 - Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",1285572.844, 785.80 
2111 Extracción de petróleo y gas,349.3,780.3," 1,129.60 ","221 - Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",1285572.844, 785.80 
"212 Minería de minerales metálicos y no metálicos, excepto petróleo y gas",921.9,"2,109.30"," 3,031.20 ",23 - Construcción,3956265.949, 722.10 
2122 Minería de minerales metálicos,869.1,"2,089.50"," 2,958.60 ",236 - Edificación,2741304.623, 60.10 
2123 Minería de minerales no metálicos,49.8,19.8, 69.60 ,237 - Construcción de obras de ingeniería civil,693124.656, 625.10 
213 Servicios relacionados con la minería,509.5,602.9," 1,112.40 ",238 - Trabajos especializados para la construcción,521836.67, 37.00 
