Sector subsector y rama,1,2,3,4,2006,1.1,2.1,3.1,4.1,2007,1.2,2.2,3.2,4.2,Unnamed: 15,1.3,2.3,3.3,4.3,Unnamed: 20,1.4,2.4,3.4,4.4,Unnamed: 25,1.5,2.5,3.5,4.5,Unnamed: 30,1.6,2.6,3.6,4.6,Unnamed: 35,1.7,2.7,3.7,4.7,Unnamed: 40,1.8,2.8,3.8,4.8,Unnamed: 45,1.9,2.9,3.9,4.9,Unnamed: 50,1.10,2.10,3.10,4.10,Unnamed: 55,1.11,2.11,3.11,4.11,Unnamed: 60,1.12,2.12,3.12,4.12,Unnamed: 65,1.13,2.13,3.13,4.13,Unnamed: 70,1.14,2.14,3.14,4.14,Unnamed: 75,1.15,2.15,3.15,4.15,Total 2021,1.16,2.16,3.16,4.16,Total 2022,1.17,2.17,3.17,4.17,Total 2023,1.18,2.18,Total 2024,Total general
"11 Agricultura cría y explotación de animales, aprovechamiento forestal, pesca y caza",-3.5,-11.3,3.2,13.0,1.5,-21.9,-7.2,11.8,9.7,-7.6,15.7,39.2,4.0,60.8,119.7,-3.9,-5.1,-7.5,7.9,-8.6,15.1,0.4,44.2,74.4,134.1,71.4,15.7,13.1,73.3,173.5,12.7,36.7,82.5,63.4,195.2,90.6,69.8,42.4,114.4,317.3,136.1,94.9,22.7,2.2,255.9,216.4,9.0,38.0,-6.8,256.7,45.2,118.4,-11.7,32.1,184.0,52.4,43.8,-32.9,11.7,75.0,14.1,29.7,-15.8,-0.3,27.7,33.8,82.6,10.3,-7.3,119.3,94.8,55.7,81.2,-52.7,179.1,57.4,-12.5,196.7,-85.9,155.7,101.4,47.3,22.4,112.4,283.5,25.9,55.5,117.9,134.7,334.0,249.7,37.1,286.8,"3,082.9"
111 Agricultura,-3.6,0.6,1.3,-1.6,-3.3,-0.7,2.6,4.1,0.1,6.0,5.6,5.2,-0.2,19.9,30.5,-0.7,-2.1,1.4,10.7,9.3,-2.1,2.8,6.3,60.6,67.5,3.2,10.7,9.1,16.6,39.7,8.9,10.0,9.8,51.8,80.4,18.4,32.9,35.6,85.8,172.7,95.0,53.9,10.4,2.2,161.4,20.8,-1.0,15.6,6.3,41.7,21.3,5.0,12.5,11.0,49.8,50.9,34.2,6.1,13.2,104.4,13.4,16.1,0.4,4.3,34.1,24.0,36.1,5.8,-9.4,56.5,31.3,41.0,39.1,-39.5,71.9,33.1,13.6,-13.3,-36.7,-3.4,22.9,8.8,-12.1,87.8,107.4,11.0,8.5,94.8,C,109.9,68.3,42.0,110.3,"1,246.9"
1111 Cultivo de semillas oleaginosas  leguminosas y cereales,-0.8,0.0,0.3,-0.5,-1.0,-0.4,-0.4,0.8,-0.2,-0.2,-0.9,-1.2,C,C,-3.5,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,4.1,C,3.6,0.0,C,C,C,0.3,0.0,0.0,0.0,0.0,0.0,0.0,C,C,0.0,0.0,C,0.0,C,0.0,C,0.0,0.0,C,0.0,C,0.0,C,C,0.0,0.0,C,0.0,C,0.0,C,C,C,0.0,0.0,C,0.0,C,0.0,C,C,C,0.0,0.0,0.0,C,0.0,0.0,0.0,-6.7
1112 Cultivo de hortalizas,-2.8,-0.5,0.7,-1.7,-4.3,-0.5,C,3.0,0.0,2.4,6.2,2.9,0.0,0.1,9.3,C,C,C,0.0,0.1,C,C,2.7,C,12.0,0.0,C,C,C,0.0,3.1,0.0,C,15.5,19.8,C,C,0.0,0.0,0.0,C,0.0,C,0.0,C,C,0.0,C,1.6,25.5,19.5,C,C,C,44.9,39.2,C,C,C,47.2,0.0,7.8,0.0,0.0,7.8,13.8,C,C,C,35.1,7.8,C,9.1,-29.3,-11.4,C,3.1,10.6,-23.9,19.8,C,2.2,C,-4.1,6.2,7.3,C,C,C,13.6,C,22.4,51.2,283.0
1113 Cultivo de frutales y nueces,C,0.9,C,C,1.1,C,C,C,0.2,3.7,0.3,3.4,C,20.5,24.7,C,C,C,12.3,12.8,C,0.0,C,50.5,50.6,C,C,C,2.6,4.6,C,C,2.8,28.4,37.6,12.6,C,4.5,11.5,40.8,C,C,C,C,69.3,6.0,C,C,C,4.3,C,-0.7,C,C,8.2,C,45.4,C,5.2,51.0,C,0.0,C,0.0,C,C,C,1.5,C,3.6,5.4,9.1,3.9,-9.5,9.0,-1.5,C,C,C,-8.5,0.0,-0.9,-4.3,C,-2.5,C,0.0,C,0.0,C,-17.9,0.0,-17.9,284.9
"1114 Cultivo en invernaderos y otras estructuras agrícolas protegidas, y floricultura",0.0,C,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,C,C,C,11.3,8.0,C,28.2,C,C,C,C,C,C,18.1,C,C,125.2,C,C,0.0,C,47.7,C,C,C,C,C,0.0,C,C,0.0,-3.4,C,-15.2,0.2,C,-1.1,12.0,C,C,C,18.5,C,C,C,C,6.1,C,C,27.2,-0.7,57.2,C,C,C,-20.6,-12.4,C,C,0.0,C,140.7,C,0.0,C,0.0,87.4,C,19.6,74.6,614.0
1119 Otros cultivos,C,C,0.2,0.5,0.9,C,0.0,C,C,0.1,0.0,C,0.0,0.1,0.1,C,C,0.0,C,-0.1,C,C,C,0.0,0.5,0.0,C,C,C,9.5,C,C,0.1,0.0,0.6,0.1,C,C,0.5,3.1,C,C,C,C,40.3,0.0,C,C,0.0,C,C,C,C,C,0.1,0.0,0.0,0.0,C,C,0.0,0.0,0.0,C,6.3,C,C,3.0,0.0,11.7,14.9,C,-1.0,0.0,17.1,C,C,C,C,-5.9,C,C,0.0,-21.4,-37.1,C,C,C,0.0,16.6,2.4,0.0,2.4,71.7
112 Cría y explotación de animales,C,C,C,16.3,6.2,-11.9,-10.7,7.9,C,-5.6,9.2,30.3,1.9,39.0,80.4,C,C,C,C,3.2,29.1,C,50.5,-12.8,67.4,70.4,3.5,19.5,49.5,142.9,8.2,2.6,69.0,6.0,85.8,68.9,C,6.3,25.0,100.2,40.7,C,11.8,0.0,52.5,135.3,0.0,C,0.0,135.3,C,C,0.0,C,43.6,28.5,C,C,0.0,-41.4,17.5,C,9.3,C,32.5,47.7,C,C,0.0,53.7,C,C,C,C,151.2,C,C,C,C,155.7,C,C,C,35.1,118.8,-24.3,47.0,17.8,C,153.3,C,0.0,C,"1,391.5"
1121 Explotación de bovinos,C,0.0,0.0,0.9,0.9,0.0,C,C,0.0,0.0,C,0.0,C,C,C,0.0,C,0.0,C,C,0.0,C,C,0.0,C,0.0,C,C,0.0,0.7,C,C,0.0,0.5,0.3,C,C,0.0,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,C,-2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9
1122 Explotación de porcinos,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,C,C,0.0,C,C,C,C,C,0.0,0.0,0.0,C,C,0.0,0.0,0.0,C,C,0.0,0.0,0.0,C,C,0.0,0.0,0.0,C,C,0.0,C,0.0,C,C,0.0,C,0.0,C,C,0.0,C,0.0,C,C,C,0.0,0.0,C,C,0.0,0.0,0.0,C,C,C,C,C,C,C,C,0.0,0.0,C,0.0,0.0,0.0,C,C,C,C,C,0.0,C,0.0,0.0,C,0.0,C,0.0,0.0,C,0.0,C,0.0,0.0,0.0,323.5
