Concepto,2022 |  Anual R,2023 |  Anual R
Actividades primarias,1150923.728,1222675.007
"11 - Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",1150923.728,1222675.007
111 - Agricultura,777073.766,812906.226
112 - Cría y explotación de animales,323381.12,356092.076
113 - Aprovechamiento forestal,31230.243,33486.364
"114 - Pesca, caza y captura",11379.147,12323.271
115 - Servicios relacionados con las actividades agropecuarias y forestales,7859.452,7867.071
Actividades secundarias,9780799.983,10347318.618
21 - Minería,1037060.551,1061222.194
211 - Extracción de petróleo y gas,564312.281,621780.414
"212 - Minería de minerales metálicos y no metálicos, excepto petróleo y gas",372906.157,340210.419
213 - Servicios relacionados con la minería,99842.113,99231.361
"22 - Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",602599.942,682972.902
"221 - Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",602599.942,682972.902
23 - Construcción,1808139.535,2148126.414
236 - Edificación,1299404.392,1441900.231
237 - Construcción de obras de ingeniería civil,261887.426,431237.23
238 - Trabajos especializados para la construcción,246847.717,274988.953
31-33 - Industrias manufactureras,6332999.956,6454997.108
311 - Industria alimentaria,1283082.267,1364843.872
3111 - Elaboración de alimentos para animales,74795.667,72244.742
3112 - Molienda de granos y de semillas y obtención de aceites y grasas,121297.833,119789.876
"3113 - Elaboración de azúcares, chocolates, dulces y similares",82291.59,87161.588
"3114 - Conservación de frutas, verduras, guisos y otros alimentos preparados",65417.755,66102.82
3115 - Elaboración de productos lácteos,77377.203,81356.671
"3116 - Matanza, empacado y procesamiento de carne de ganado, aves y otros animales comestibles",365253.539,394861.232
3117 - Preparación y envasado de pescados y mariscos,5896.19,6267.142
3118 - Elaboración de productos de panadería y tortillas,367022.278,406829.657
3119 - Otras industrias alimentarias,123730.212,130230.144
312 - Industria de las bebidas y del tabaco,324731.277,329514.444
3121 - Industria de las bebidas,294982.114,298319.162
3122 - Industria del tabaco,29749.163,31195.282
313 - Fabricación de insumos textiles y acabado de textiles,37666.085,34148.809
"3131 - Preparación e hilado de fibras textiles, y fabricación de hilos",8738.454,9296.4
3132 - Fabricación de telas,20928.155,17417.073
3133 - Acabado de productos textiles y fabricación de telas recubiertas,7999.475,7435.336
"314 - Fabricación de productos textiles, excepto prendas de vestir",20780.488,20677.693
"3141 - Confección de alfombras, blancos y similares",6381.718,5979.727
"3149 - Fabricación de otros productos textiles, excepto prendas de vestir",14398.77,14697.966
315 - Fabricación de prendas de vestir,80944.452,73777.607
3151 - Fabricación de prendas de vestir de tejido de punto,8095.419,6863.133
3152 - Confección de prendas de vestir,69512.613,63547.912
3159 - Confección de accesorios de vestir y otras prendas de vestir no clasificados en otra parte,3336.42,3366.562
"316 - Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos",34910.396,36127.216
3161 - Curtido y acabado de cuero y piel,7326.361,7464.843
3162 - Fabricación de calzado,20980.57,21996.127
"3169 - Fabricación de otros productos de cuero, piel y materiales sucedáneos",6603.465,6666.246
321 - Industria de la madera,54180.863,49245.605
3211 - Aserrado y conservación de la madera,25175.907,22830.237
3212 - Fabricación de laminados y aglutinados de madera,3414.872,2882.955
3219 - Fabricación de otros productos de madera,25590.083,23532.413
322 - Industria del papel,137031.911,131770.374
"3221 - Fabricación de pulpa, papel y cartón",46523.161,45761.591
3222 - Fabricación de productos de cartón y papel,90508.75,86008.783
323 - Impresión e industrias conexas,31396.837,33129.446
3231 - Impresión e industrias conexas,31396.837,33129.446
324 - Fabricación de productos derivados del petróleo y del carbón,195260.168,152528.576
3241 - Fabricación de productos derivados del petróleo y del carbón,195260.168,152528.576
325 - Industria química,443955.004,441036.46
3251 - Fabricación de productos químicos básicos,118535.308,113715.202
"3252 - Fabricación de resinas y hules sintéticos, y fibras químicas",59184.761,56192.276
"3253 - Fabricación de fertilizantes, pesticidas y otros agroquímicos",33691.975,25994.724
3254 - Fabricación de productos farmacéuticos,98083.979,108645.077
"3255 - Fabricación de pinturas, recubrimientos y adhesivos",31649.693,31169.56
"3256 - Fabricación de jabones, limpiadores y preparaciones de tocador",75033.844,79405.988
3259 - Fabricación de otros productos químicos,27775.444,25913.633
326 - Industria del plástico y del hule,208546.751,194892.406
3261 - Fabricación de productos de plástico,166562.693,154171.218
3262 - Fabricación de productos de hule,41984.058,40721.188
327 - Fabricación de productos a base de minerales no metálicos,209226.242,210558.736
3271 - Fabricación de productos a base de arcillas y minerales refractarios,40006.659,36534.985
3272 - Fabricación de vidrio y productos de vidrio,41976.034,40139.909
3273 - Fabricación de cemento y productos de concreto,103798.401,110616.738
"3274 - Fabricación de cal, yeso y productos de yeso",11529.658,12229.004
3279 - Fabricación de otros productos a base de minerales no metálicos,11915.49,11038.1
331 - Industrias metálicas básicas,383267.146,331480.484
3311 - Industria básica del hierro y del acero,81034.472,58865.726
3312 - Fabricación de productos de hierro y acero,106810.245,92300.777
3313 - Industria básica del aluminio,19278.78,19413.913
"3314 - Industrias de metales no ferrosos, excepto aluminio",145639.048,132257.529
3315 - Moldeo por fundición de piezas metálicas,30504.601,28642.539
332 - Fabricación de productos metálicos,225761.502,229549.613
3321 - Fabricación de productos metálicos forjados y troquelados,8723.698,8048.298
3322 - Fabricación de herramientas de mano sin motor y utensilios de cocina metálicos,20589.471,23520.074
3323 - Fabricación de estructuras metálicas y productos de herrería,45494.81,48545.934
"3324 - Fabricación de calderas, tanques y envases metálicos",19346.168,22586.767
3325 - Fabricación de herrajes y cerraduras,11945.257,12184.581
"3326 - Fabricación de alambre, productos de alambre y resortes",19124.553,18376.799
3327 - Maquinado de piezas y fabricación de tornillos,25261.927,26689.694
3328 - Recubrimientos y terminados metálicos,22030.827,18524.856
3329 - Fabricación de otros productos metálicos,53244.791,51072.61
333 - Fabricación de maquinaria y equipo,272214.0,288924.627
"3331 - Fabricación de maquinaria y equipo agropecuario, para la construcción y para la industria extractiva",49037.774,64477.186
"3332 - Fabricación de maquinaria y equipo para las industrias manufactureras, excepto la metalmecánica",18329.914,18142.494
3333 - Fabricación de maquinaria y equipo para el comercio y los servicios,8317.28,8153.132
"3334 - Fabricación de equipo de aire acondicionado, calefacción, y de refrigeración industrial y comercial",64404.455,67946.422
3335 - Fabricación de maquinaria y equipo para la industria metalmecánica,4481.878,3861.012
"3336 - Fabricación de motores de combustión interna, turbinas y transmisiones",71814.501,68335.591
3339 - Fabricación de otra maquinaria y equipo para la industria en general,55828.198,58008.79
"334 - Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos",532256.358,557605.836
3341 - Fabricación de computadoras y equipo periférico,131407.429,149989.065
3342 - Fabricación de equipo de comunicación,108773.402,96400.368
3343 - Fabricación de equipo de audio y de video,101373.338,105663.105
3344 - Fabricación de componentes electrónicos,158041.403,165945.922
"3345 - Fabricación de instrumentos de medición, control, navegación, y equipo médico electrónico",28363.898,35848.467
3346 - Fabricación y reproducción de medios magnéticos y ópticos,4296.888,3758.909
"335 - Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica",245613.538,255959.981
3351 - Fabricación de accesorios de iluminación,17810.58,18841.004
3352 - Fabricación de aparatos eléctricos de uso doméstico,74734.344,76768.477
3353 - Fabricación de equipo de generación y distribución de energía eléctrica,77199.139,87288.618
3359 - Fabricación de otros equipos y accesorios eléctricos,75869.475,73061.882
336 - Fabricación de equipo de transporte,1359976.443,1456194.873
3361 - Fabricación de automóviles y camiones,689605.039,752255.143
3362 - Fabricación de carrocerías y remolques,20604.144,23850.348
3363 - Fabricación de partes para vehículos automotores,576758.225,591092.425
3364 - Fabricación de equipo aeroespacial,22439.144,28697.107
3365 - Fabricación de equipo ferroviario,25624.663,32332.346
3366 - Fabricación de embarcaciones,2810.974,4322.603
3369 - Fabricación de otro equipo de transporte,22134.254,23644.901
"337 - Fabricación de muebles, colchones y persianas",70457.356,70161.921
"3371 - Fabricación de muebles, excepto de oficina y estantería",44698.038,42449.733
3372 - Fabricación de muebles de oficina y estantería,13907.12,14977.103
"3379 - Fabricación de colchones, persianas y cortineros",11852.198,12735.085
339 - Otras industrias manufactureras,181740.872,192868.531
"3391 - Fabricación de equipo no electrónico y material desechable de uso médico, dental y para laboratorio, y artículos oftálmicos",99483.646,110093.931
3399 - Otras industrias manufactureras,82257.226,82774.6
Actividades terciarias,17164895.214,18368947.112
43 - Comercio al por mayor,2894584.091,2938093.551
46 - Comercio al por menor,2886773.269,2997841.817
"48-49 - Transportes, correos y almacenamiento",2100178.843,2306679.274
481 - Transporte aéreo,101881.192,124573.411
482 - Transporte por ferrocarril,42326.874,45438.863
483 - Transporte por agua,20125.514,20294.538
484 - Autotransporte de carga,1094121.097,1201196.855
"485 - Transporte terrestre de pasajeros, excepto por ferrocarril",508228.317,561632.363
486 - Transporte por ductos,19267.05,20378.844
487 - Transporte turístico,2538.636,2775.312
488 - Servicios relacionados con el transporte,229396.694,244844.522
491 - Servicios postales,4175.197,4475.384
492 - Servicios de mensajería y paquetería,39832.932,43174.13
493 - Servicios de almacenamiento,38285.339,37895.052
51 - Información en medios masivos,420009.569,444551.87
"511 - Edición de periódicos, revistas, libros, software y otros materiales, y edición de estas publicaciones integrada con la impresión",19333.339,17149.095
"512 - Industria fílmica y del video, e industria del sonido",26705.797,33693.647
515 - Radio y televisión,68306.048,69101.519
517 - Telecomunicaciones,293535.309,311087.767
"518 - Procesamiento electrónico de información, hospedaje y otros servicios relacionados",10666.719,12112.996
519 - Otros servicios de información,1462.356,1406.846
52 - Servicios financieros y de seguros,1163784.5,1405545.585
521 - Banca central,49959.163,59643.852
522 - Instituciones de intermediación crediticia y financiera no bursátil,920058.555,1085356.111
"523 - Actividades bursátiles, cambiarias y de inversión financiera",34469.176,28160.426
