Sector subsector y rama,Total 2022,Total 2023,IDE 2022 - 2023
"11 Agricultura cría y explotación de animales, aprovechamiento forestal, pesca y caza",283.5,334.0,283.5334.0
111 Agricultura,107.4,109.9,107.4109.9
1112 Cultivo de hortalizas,6.2,13.6,6.213.6
"1114 Cultivo en invernaderos y otras estructuras agrícolas protegidas, y floricultura",140.7,87.4,140.787.4
1119 Otros cultivos,-37.1,16.6,-37.116.6
112 Cría y explotación de animales,118.8,153.3,118.8153.3
1123 Explotación avícola,106.6,126.3,106.6126.3
115 Servicios relacionados con las actividades agropecuarias y forestales,57.4,70.8,57.470.8
1151 Servicios relacionados con la agricultura,19.8,0.8,19.80.8
1153 Servicios relacionados con el aprovechamiento forestal,37.5,70.0,37.570.0
21 Minería,"1,780.7","3,492.5","1,780.73,492.5"
211 Extracción de petróleo y gas,349.3,780.3,349.3780.3
2111 Extracción de petróleo y gas,349.3,780.3,349.3780.3
"212 Minería de minerales metálicos y no metálicos, excepto petróleo y gas",921.9,"2,109.3","921.92,109.3"
2122 Minería de minerales metálicos,869.1,"2,089.5","869.12,089.5"
2123 Minería de minerales no metálicos,49.8,19.8,49.819.8
213 Servicios relacionados con la minería,509.5,602.9,509.5602.9
2131 Servicios relacionados con la minería,509.5,602.9,509.5602.9
22 Generación transmisión distribución y comercialización de energía eléctrica  suministro de agua y de gas natural por ductos al consumidor final,878.8,-93.0,878.8-93.0
221 Generación  transmisión  distribución y comercialización de energía eléctrica suministro de agua y de gas natural por ductos al consumidor final,878.8,-93.0,878.8-93.0
2211 Generación transmisión  distribución y comercialización de energía eléctrica,838.1,-33.8,838.1-33.8
2212 Suministro de gas natural por ductos al consumidor final,40.7,-59.2,40.7-59.2
23 Construcción,464.2,257.9,464.2257.9
236 Edificación,8.7,51.4,8.751.4
2361 Edificación residencial,3.5,-0.4,3.5-0.4
2362 Edificación no residencial,5.2,51.8,5.251.8
237 Construcción de obras de ingeniería civil,466.2,158.9,466.2158.9
2371 Construcción de obras para el suministro de agua  petróleo  gas energía eléctrica y telecomunicaciones,395.0,164.1,395.0164.1
2372 División de terrenos y construcción de obras de urbanización,5.9,-29.8,5.9-29.8
2373 Construcción de vías de comunicación,43.0,3.3,43.03.3
2379 Otras construcciones de ingeniería civil,22.3,21.3,22.321.3
238 Trabajos especializados para la construcción,-10.7,47.7,-10.747.7
2382 Instalaciones y equipamiento en construcciones,-19.7,55.4,-19.755.4
2389 Otros trabajos especializados para la construcción,8.9,0.1,8.90.1
31-33 Industrias manufactureras,"14,091.8","18,115.7","14,091.818,115.7"
311 Industria alimentaria,969.7,575.1,969.7575.1
3112 Molienda de granos y de semillas y obtención de aceites y grasas,63.2,160.3,63.2160.3
3113 Elaboración de azúcares chocolates  dulces y similares,851.4,123.1,851.4123.1
3114 Conservación de frutas  verduras  guisos y otros alimentos preparados,35.1,-31.4,35.1-31.4
3119 Otras industrias alimentarias,14.2,36.8,14.236.8
312 Industria de las bebidas y del tabaco,665.6,"2,605.4","665.62,605.4"
3121 Industria de las bebidas,667.6,"2,440.0","667.62,440.0"
313 Fabricación de insumos textiles y acabado de textiles,24.6,10.2,24.610.2
3132 Fabricación de telas,23.9,5.4,23.95.4
314 Fabricación de productos textiles excepto prendas de vestir,31.0,17.3,31.017.3
3141 Confección de alfombras  blancos y similares,20.3,19.2,20.319.2
3149 Fabricación de otros productos textiles excepto prendas de vestir,10.7,-1.9,10.7-1.9
315 Fabricación de prendas de vestir,62.5,-4.5,62.5-4.5
3151 Fabricación de prendas de vestir de tejido de punto,7.5,4.6,7.54.6
3152 Confección de prendas de vestir,39.7,-4.0,39.7-4.0
3159 Confección de accesorios de vestir y otras prendas de vestir no clasificados en otra parte,15.4,-5.1,15.4-5.1
316 Curtido y acabado de cuero y piel y fabricación de productos de cuero piel y materiales sucedáneos,2.7,4.7,2.74.7
3162 Fabricación de calzado,2.7,2.5,2.72.5
3169 Fabricación de otros productos de cuero piel y materiales sucedáneos,6.4,0.9,6.40.9
321 Industria de la madera,0.7,29.7,0.729.7
3219 Fabricación de otros productos de madera,0.7,29.7,0.729.7
322 Industria del papel,"1,173.3",250.2,"1,173.3250.2"
3221 Fabricación de pulpa  papel y cartón,"1,160.9",109.9,"1,160.9109.9"
3222 Fabricación de productos de cartón y papel,12.4,140.3,12.4140.3
323 Impresión e industrias conexas,-3.2,-8.0,-3.2-8.0
3231 Impresión e industrias conexas,-3.2,-8.0,-3.2-8.0
324 Fabricación de productos derivados del petróleo y del carbón,5.9,5.0,5.95.0
3241 Fabricación de productos derivados del petróleo y del carbón,5.9,5.0,5.95.0
325 Industria química,"1,320.4","1,094.5","1,320.41,094.5"
3251 Fabricación de productos químicos básicos,-368.2,247.0,-368.2247.0
3252 Fabricación de resinas y hules sintéticos  y fibras químicas,48.3,-1.1,48.3-1.1
3254 Fabricación de productos farmacéuticos,958.3,"1,276.8","958.31,276.8"
3255 Fabricación de pinturas  recubrimientos y adhesivos,101.0,-206.6,101.0-206.6
3256 Fabricación de jabones limpiadores y preparaciones de tocador,348.5,-254.9,348.5-254.9
3259 Fabricación de otros productos químicos,128.1,59.8,128.159.8
326 Industria del plástico y del hule,719.8,478.9,719.8478.9
